
for bug 376354 .....................................................................Dani Megert Recommendation  Score: 37098.449887461655
Ayushman Jain Recommendation  Score: 35090.57451835795
Markus Keller Recommendation  Score: 32103.398098538146
Srikanth Sankaran Recommendation  Score: 29447.505764458987
Deepak Azad Recommendation  Score: 23409.021377692545
Jay Arthanareeswaran Recommendation  Score: 22979.60315759376
Olivier Thomann Recommendation  Score: 20095.54479441339
Stephan Herrmann Recommendation  Score: 12448.02263851184
Frederic Fusier Recommendation  Score: 5029.006867430016
Raksha Vasisht Recommendation  Score: 3660.696298650932
Remy Suen Recommendation  Score: 2202.3124456474256
Kent Johnson Recommendation  Score: 1476.7819071735996
David Audel Recommendation  Score: 997.7612655203552
Terry Parker Recommendation  Score: 784.7661801177258
Darin Wright Recommendation  Score: 493.7297303274619
Kim Moir Recommendation  Score: 421.43904904924875
Walter Harley Recommendation  Score: 334.24935890209815
Szymon Brandys Recommendation  Score: 177.6591297599651
Benno Baumgartner Recommendation  Score: 162.42340462522793
Rémi Forax Recommendation  Score: 157.1128404210265
Robert Munteanu Recommendation  Score: 94.43460634382534
Daniel Le Berre Recommendation  Score: 71.76080283618008
pesckal Recommendation  Score: 67.171358169082
utilisateur_768 Recommendation  Score: 52.93608041378157
CDE Administration Recommendation  Score: 48.60547667341944
Dietmar Hechensteiner Recommendation  Score: 46.5328102840516
Mike M Recommendation  Score: 45.30650542118847
Gábor Bakos Recommendation  Score: 44.019435386619506
"Z" Zorzella Recommendation  Score: 35.97290093051779
daolaf Recommendation  Score: 34.242366412215574
Samantha Chan Recommendation  Score: 25.623510563148397
Mihai Danila Recommendation  Score: 25.133676249198007
Micha Riser Recommendation  Score: 22.94956317665033
Michael  Paetzold Recommendation  Score: 21.109411764705175
Martin Nilsson Recommendation  Score: 20.217233157623493
akrieg Recommendation  Score: 19.49707224661752
Phil Hunt Recommendation  Score: 19.21092077087682
Ivan Recommendation  Score: 18.947201689545714
butthep Recommendation  Score: 18.927215189866654
misja Recommendation  Score: 18.517027863777667
Daniel Wacher Recommendation  Score: 18.08770161290796
William R. Burdick Jr. Recommendation  Score: 17.8856448096604
Robin Rosenberg Recommendation  Score: 17.65493475830006
Ira Fishbein Recommendation  Score: 17.50199438941073
Soren Mathiasen Recommendation  Score: 17.09654637069414
Mateus Krepsky Ludwich Recommendation  Score: 15.083027721913599
Eugene Kalitsko Recommendation  Score: 9.561586638831862
Thorbjørn Ravn Andersen Recommendation  Score: 8.594812164579094
Victor Recommendation  Score: 7.95829713292689
Jeremy Brown Recommendation  Score: 1.9023696682463584

top n is: 1000
Preccission is: 0.0
Recall is : 0.0
GT is is : 1

for bug 383637 .....................................................................Srikanth Sankaran Recommendation  Score: 59092.90792640283
Markus Keller Recommendation  Score: 41610.46785060582
Ayushman Jain Recommendation  Score: 29828.2962013991
Jay Arthanareeswaran Recommendation  Score: 28754.544886757492
Dani Megert Recommendation  Score: 23404.15263765288
Olivier Thomann Recommendation  Score: 15872.947584593878
Stephan Herrmann Recommendation  Score: 12541.830903424476
Deepak Azad Recommendation  Score: 11243.5442347929
Frederic Fusier Recommendation  Score: 4560.722345219144
Raksha Vasisht Recommendation  Score: 2966.4609731506343
Remy Suen Recommendation  Score: 1724.6534695871367
Kent Johnson Recommendation  Score: 1372.174329451226
David Audel Recommendation  Score: 930.4968587182559
Terry Parker Recommendation  Score: 497.3598843595659
Darin Wright Recommendation  Score: 446.19109018202397
Kim Moir Recommendation  Score: 348.1552005098032
Walter Harley Recommendation  Score: 322.17026546330993
Szymon Brandys Recommendation  Score: 148.36105538516847
Benno Baumgartner Recommendation  Score: 147.6020339125593
Rémi Forax Recommendation  Score: 139.33352092968826
Robert Munteanu Recommendation  Score: 92.17929928183547
Daniel Le Berre Recommendation  Score: 61.03947631897276
pesckal Recommendation  Score: 58.46760862505619
utilisateur_768 Recommendation  Score: 48.81334280759841
CDE Administration Recommendation  Score: 45.042293233102505
Dietmar Hechensteiner Recommendation  Score: 42.17708469963437
Gábor Bakos Recommendation  Score: 37.65731803454368
"Z" Zorzella Recommendation  Score: 33.36222528411008
daolaf Recommendation  Score: 29.75621890548066
Samantha Chan Recommendation  Score: 23.839748775910234
