
for bug 386188 .....................................................................Srikanth Sankaran Recommendation  Score: 34232.17459184852
Jay Arthanareeswaran Recommendation  Score: 28506.74752584719
Markus Keller Recommendation  Score: 24001.727025189277
Ayushman Jain Recommendation  Score: 20275.328414406755
Dani Megert Recommendation  Score: 19353.95531209461
Olivier Thomann Recommendation  Score: 14939.10162352955
Deepak Azad Recommendation  Score: 12990.074597564673
Stephan Herrmann Recommendation  Score: 10659.988424471554
Frederic Fusier Recommendation  Score: 4408.3845852604345
Raksha Vasisht Recommendation  Score: 2798.7959710432224
Michael Rennie Recommendation  Score: 1887.5240466682744
Remy Suen Recommendation  Score: 1632.6317332157946
Kent Johnson Recommendation  Score: 1335.2120537049952
David Audel Recommendation  Score: 907.1187922734133
Darin Wright Recommendation  Score: 554.6268008957243
Kim Moir Recommendation  Score: 339.8217270099627
Walter Harley Recommendation  Score: 291.3523541472342
Chris West (Faux) Recommendation  Score: 214.93620842208375
Benno Baumgartner Recommendation  Score: 143.7981628606415
Benjamin Muskalla Recommendation  Score: 132.94892030351784
Chris Aniszczyk Recommendation  Score: 94.6272170932742
Jeff McAffer Recommendation  Score: 92.86516906473383
Min Idzelis Recommendation  Score: 72.2688909150492
Ray V. Recommendation  Score: 62.319763537740236
Brian Miller Recommendation  Score: 60.39849960963953
Snjezana Peco Recommendation  Score: 58.99797514498365
Benjamin Cabé Recommendation  Score: 49.0538854400956
Dietmar Hechensteiner Recommendation  Score: 40.70706657435007
Steffen Pingel Recommendation  Score: 37.12804949054884
Samantha Chan Recommendation  Score: 33.341300820953364
Edwin Chan Recommendation  Score: 23.226153462791043
Nathan Kronenfeld Recommendation  Score: 20.367346938772084
Chris Williams Recommendation  Score: 15.753646677468904
Rekha Recommendation  Score: 15.293192153827118
Pavel Sklenak Recommendation  Score: 14.773026315791363
Paul Klicnik Recommendation  Score: 14.712530712537138
Ryan Fong Recommendation  Score: 13.817432173818123
Hollis Waite Recommendation  Score: 9.310289674827617
Shensis Alexander Recommendation  Score: 8.18165109402981
Sérgio Neves Recommendation  Score: 7.5948911127648735
Ildar Safarov Recommendation  Score: 7.455284552846455
Stephen Haberman Recommendation  Score: 6.145727633649429
Johannes Gebauer Recommendation  Score: 4.605360443622834
Nick Dellamaggiore Recommendation  Score: 4.332916145181211
Gernot Belger Recommendation  Score: 4.06775510204083
Benjamin Ratiarisolo Recommendation  Score: 3.375966364899388
Alex Smirnoff Recommendation  Score: 2.7327586206896446
XhE Recommendation  Score: 2.4830287206266837
Ben Bucksch Recommendation  Score: 2.293408360128618
Stoyan Boshev Recommendation  Score: 1.4428223844282602

top n is: 3
Preccission is: 0.2
Recall is : 0.5
GT is is : 4

for bug 388172 .....................................................................Srikanth Sankaran Recommendation  Score: 32018.77516984002
Jay Arthanareeswaran Recommendation  Score: 29605.117516681446
Dani Megert Recommendation  Score: 23541.00833419905
Markus Keller Recommendation  Score: 23243.114638278585
Ayushman Jain Recommendation  Score: 15349.542359075233
Olivier Thomann Recommendation  Score: 14149.751055719913
Deepak Azad Recommendation  Score: 8577.264694394455
Stephan Herrmann Recommendation  Score: 8531.317417614802
Frederic Fusier Recommendation  Score: 4263.709631915579
Raksha Vasisht Recommendation  Score: 2633.3743180867596
Michael Rennie Recommendation  Score: 1758.9503466726426
Remy Suen Recommendation  Score: 1529.0186853397329
Kent Johnson Recommendation  Score: 1300.846011594776
David Audel Recommendation  Score: 884.8512937261561
Darin Wright Recommendation  Score: 536.2720854983692
Kim Moir Recommendation  Score: 321.73649976960434
Walter Harley Recommendation  Score: 266.42400459678925
Chris West (Faux) Recommendation  Score: 207.67572957098065
Benno Baumgartner Recommendation  Score: 139.19764480508465
Benjamin Muskalla Recommendation  Score: 128.83271236714592
