
for bug 380918 .....................................................................Ayushman Jain Recommendation  Score: 31049.187725977787
Markus Keller Recommendation  Score: 26697.70216860855
Dani Megert Recommendation  Score: 24155.417517934693
Srikanth Sankaran Recommendation  Score: 22476.008953391352
Deepak Azad Recommendation  Score: 18479.053846751885
Olivier Thomann Recommendation  Score: 14350.47226276104
Stephan Herrmann Recommendation  Score: 9810.219241372723
Frederic Fusier Recommendation  Score: 4068.248160243192
John Arthorne Recommendation  Score: 2540.9964249882123
Remy Suen Recommendation  Score: 1667.905763672002
David Audel Recommendation  Score: 826.5335445199602
Karen Butzke Recommendation  Score: 623.2572875890893
Darin Wright Recommendation  Score: 439.5540566592859
Krzysztof Daniel Recommendation  Score: 368.94879986710623
Kim Moir Recommendation  Score: 333.158853416688
Andrey Loskutov Recommendation  Score: 320.9939731803868
Benjamin Muskalla Recommendation  Score: 126.51463747504374
Chris Aniszczyk Recommendation  Score: 88.17773518496433
Masaihko Maedera Recommendation  Score: 83.67048066318425
Kelly Campbell Recommendation  Score: 83.22246194284665
Boris Bokowski Recommendation  Score: 67.98445540847143
Heiko  Böttger Recommendation  Score: 52.660108724907566
utilisateur_768 Recommendation  Score: 43.89228302557561
Snjezana Peco Recommendation  Score: 42.88642019618807
Luke Hutchison Recommendation  Score: 41.9849999781324
Johan Compagner Recommendation  Score: 37.2641537471179
Stefan Kolarov Recommendation  Score: 36.198148802687406
Jonathan Camilleri Recommendation  Score: 32.311758822268956
Ulli Hafner Recommendation  Score: 31.17693952136385
Jacek Pospychala Recommendation  Score: 31.083580993194804
Samantha Chan Recommendation  Score: 25.079619016848046
Tom Poindexter Recommendation  Score: 22.98230088496104
Hajo Czub Recommendation  Score: 21.05675675676168
Evan Hughes Recommendation  Score: 20.53907478907764
James Willans Recommendation  Score: 16.92753387149735
Ketan Padegaonkar Recommendation  Score: 16.141003433467063
Christopher Oezbek Recommendation  Score: 15.512275848684327
Travis Mising name Recommendation  Score: 15.328543362339051
Tomas Gradin Recommendation  Score: 14.665244050433703
Balakrishnan Recommendation  Score: 14.59655514955048
Ben Xu Recommendation  Score: 14.494883720934006
Lenik Recommendation  Score: 12.647727272730862
Glen Mazza Recommendation  Score: 8.670588235294684
Achim Demelt Recommendation  Score: 8.106324472959093
Jules H Recommendation  Score: 7.568720379145864
Old Hamlet Recommendation  Score: 7.2488826898220715
Matt Recommendation  Score: 4.705569636706316
vinayc Recommendation  Score: 2.901996370235803
Ralf Hauser Recommendation  Score: 1.8656047711121344
Sekhar Ravinutala Recommendation  Score: 0.4676470588235281

top n is: 1000
pre : 0
recall :  0
GT : 3 

for bug 371078 .....................................................................Dani Megert Recommendation  Score: 47384.13302470622
Ayushman Jain Recommendation  Score: 42238.22822414122
Srikanth Sankaran Recommendation  Score: 39390.80643408551
Markus Keller Recommendation  Score: 26070.07523248359
Deepak Azad Recommendation  Score: 21325.051350936246
Stephan Herrmann Recommendation  Score: 20417.73831883517
Olivier Thomann Recommendation  Score: 19230.50801699921
Frederic Fusier Recommendation  Score: 4711.992889447419
Remy Suen Recommendation  Score: 2707.207511301535
John Arthorne Recommendation  Score: 921.5917248638772
David Audel Recommendation  Score: 915.4449267936335
Darin Wright Recommendation  Score: 533.5760953526392
Kim Moir Recommendation  Score: 475.5026825780655
Andrey Loskutov Recommendation  Score: 467.8013711283694
Karen Butzke Recommendation  Score: 432.19872247320893
Krzysztof Daniel Recommendation  Score: 264.4092133501431
Benjamin Muskalla Recommendation  Score: 144.56749063505907
Masaihko Maedera Recommendation  Score: 108.30526500981094
Chris Aniszczyk Recommendation  Score: 98.67294528101269
Kelly Campbell Recommendation  Score: 93.59865468701622
Boris Bokowski Recommendation  Score: 77.08731197379203
Heiko  Böttger Recommendation  Score: 62.60630022514036
Luke Hutchison Recommendation  Score: 49.66249555542018
utilisateur_768 Recommendation  Score: 49.42669189229512
Johan Compagner Recommendation  Score: 42.03238870287343
Snjezana Peco Recommendation  Score: 40.67549108243784
Stefan Kolarov Recommendation  Score: 40.34644667016077
Jonathan Camilleri Recommendation  Score: 36.93986859767847
Ulli Hafner Recommendation  Score: 35.565723613829796
Jacek Pospychala Recommendation  Score: 34.675612349012795
Samantha Chan Recommendation  Score: 27.882198946415315
Tom Poindexter Recommendation  Score: 27.43309859154131
Evan Hughes Recommendation  Score: 26.48035201960248
Hajo Czub Recommendation  Score: 24.733333333342987
James Willans Recommendation  Score: 19.224883165124048
Ketan Padegaonkar Recommendation  Score: 17.775549111344304
Christopher Oezbek Recommendation  Score: 17.48998191903233
Travis Mising name Recommendation  Score: 17.188531652346903
Tomas Gradin Recommendation  Score: 16.35884689657917
Balakrishnan Recommendation  Score: 16.27342316695053
Ben Xu Recommendation  Score: 16.147150259072014
Lenik Recommendation  Score: 13.887700534754613
Glen Mazza Recommendation  Score: 9.718681318681286
Achim Demelt Recommendation  Score: 9.01529051987782
Jules H Recommendation  Score: 8.449735449734765
Old Hamlet Recommendation  Score: 7.967210347244836
Matt Recommendation  Score: 5.619564948708357
vinayc Recommendation  Score: 3.223790322580575
Ralf Hauser Recommendation  Score: 2.0736629667002333
Sekhar Ravinutala Recommendation  Score: 0.5578947368421067

top n is: 1
pre : .3
recall : .75  
GT : 4

for bug 371732 .....................................................................Srikanth Sankaran Recommendation  Score: 40028.11010927511
Dani Megert Recommendation  Score: 38241.43475501824
Ayushman Jain Recommendation  Score: 37862.65052674805
Markus Keller Recommendation  Score: 32904.04495777228
Stephan Herrmann Recommendation  Score: 29632.91660770644
Deepak Azad Recommendation  Score: 24905.50269505504
Olivier Thomann Recommendation  Score: 18701.67222063193
Frederic Fusier Recommendation  Score: 4665.148841747488
Remy Suen Recommendation  Score: 2572.77396275302  
David Audel Recommendation  Score: 909.3655102405133
John Arthorne Recommendation  Score: 905.2374585877751
Darin Wright Recommendation  Score: 520.2566181717292
Kim Moir Recommendation  Score: 459.83884112096786
Karen Butzke Recommendation  Score: 441.15659126651127
Andrey Loskutov Recommendation  Score: 439.2269433630283
Krzysztof Daniel Recommendation  Score: 262.59638570014283
Benjamin Muskalla Recommendation  Score: 143.25620270398002
Masaihko Maedera Recommendation  Score: 106.26196223657011
Chris Aniszczyk Recommendation  Score: 97.93065460629596
Kelly Campbell Recommendation  Score: 92.86074435447865
Boris Bokowski Recommendation  Score: 76.43246321308618
Heiko  Böttger Recommendation  Score: 61.86016388774086
Luke Hutchison Recommendation  Score: 49.09041734919695
utilisateur_768 Recommendation  Score: 49.03269175124363
Johan Compagner Recommendation  Score: 41.68853395433437
Snjezana Peco Recommendation  Score: 40.62506022695117
Stefan Kolarov Recommendation  Score: 40.06585417997113
Jonathan Camilleri Recommendation  Score: 36.61749644480065
Ulli Hafner Recommendation  Score: 35.25574909687373
Jacek Pospychala Recommendation  Score: 34.423370125139236
Samantha Chan Recommendation  Score: 27.68519480875333
Tom Poindexter Recommendation  Score: 27.099130434774047
Evan Hughes Recommendation  Score: 25.977702426189442
Hajo Czub Recommendation  Score: 24.461538461540382
James Willans Recommendation  Score: 19.06026879902415
Ketan Padegaonkar Recommendation  Score: 17.661726809639596
Christopher Oezbek Recommendation  Score: 17.348732478670563
Travis Mising name Recommendation  Score: 17.056823410988017
Tomas Gradin Recommendation  Score: 16.24817518248476
Balakrishnan Recommendation  Score: 16.155317868128577
Ben Xu Recommendation  Score: 16.03086419752682
Lenik Recommendation  Score: 13.801594331268026
Glen Mazza Recommendation  Score: 9.644492911670657
